Job Title,Company Name,Location,Working Days,Job Type,Key Indicators,Job Description,Job Conditions
تحلیلگر داده,ارکید فارمد,"{'City': 'تهران', 'Neighborhood': '، ونک'}",شنبه تا چهارشنبه,تمام وقت,"['Python - پیشرفته', 'T-Sql - پیشرفته']","['خلق ارزش و آگاهی دادن به واحد های مختلف با کمک تحلیل داده ها', 'درک فراینده های جاری در سازمان', 'بهبود و توسعه فرایندها', 'توانایی های فنی مورد نیاز :', '- مسلط به T-SQL Querying', '- مسلط به Python', '- مسلط به مفاهیم تجزیه و تحلیل داده', '- علاقمند به کندو کاو داخل داده ها و اطلاعات', 'توانایی های عمومی مورد نیاز :', '- امکان برقراری ارتباط موثر', '- توانایی حل چالش های ارتباطی', '- توانایی شناسایی نیازهایی که کاملا پنهان بودند.', '-دقیق و جزئی نگر', '-پیگیر و نتیجه گرا', '-خلاق و ایده پرداز']","[('سن', '25 - 35 سال'), ('جنسیت', 'تفاوتی ندارد'), ('تحصیلات', 'کارشناسی ارشد|مهندسی صنایع'), ('زبان', 'انگلیسی|متوسط ۵۰٪'), ('نرم افزارها', 'T-Sql|پیشرفتهPython|پیشرفته')]"
کارشناس تحلیل داده و هوش تجاری,صنایع بسته بندی به بند,"{'City': 'تهران', 'Neighborhood': '، عباس آباد (بهشتی)'}",شنبه تا چهارشنبه ساعت 8:00 تا 17:00,تمام وقت,"['Sql Server - پیشرفته', 'PowerBI - پیشرفته', 'SSIS - پیشرفته']","['وظایف اصلی', '-طراحی انبار داده (Data Warehouse)', '-طراحی داشبوردهای مدیریتی (power BI)( DAX- M)', '-تدوین گزارشات در بستر SSRS', 'شما دراولویت خواهید بود اگر:', '-آشنایی با دیتا بیس راهکاران', '- آشنایی با python -R', '-آشنایی با\xa0\xa0 Deep learning', '-آشنایی با \xa0 Data Minig']","[('جنسیت', 'تفاوتی ندارد'), ('خدمت سربازی', 'اتمام خدمت سربازی و یا معافیت از آن الزامی است'), ('تحصیلات', 'کارشناسی|کامپیوتر / فناوری اطلاعاتکارشناسی|مهندسی صنایع'), ('زبان', 'انگلیسی|متوسط ۵۰٪'), ('نرم افزارها', 'SSIS|پیشرفتهPowerBI|پیشرفتهSql Server|پیشرفته')]"
کارشناس آمار,ارکید فارمد,"{'City': 'تهران', 'Neighborhood': '، ونک'}",شنبه تا چهارشنبه,تمام وقت,"['Stata - متوسط', 'R - متوسط']","['·', 'کارشناسی ارشد آمار زیستی، ریاضی، بیمه و اقتصادی، اپیدمیولوژی', '·', 'مسلط به تحلیل های آماری', '·', 'آشنا به فازهای مطالعات بالینی و موضوعات مرتبط', '·', 'توانایی جمع آوری و گروه بندی دیتا', '·', 'تسلط با نرم افزارهای اصلی و مرتبط با آمار', '·', 'مسلط به', 'STATA', 'و', 'R', '·', 'هوش هیجانی بالا', '·', 'توانایی انجام کار گروهی', '·', 'پیگیر، منظم و با دقت بسیار بالا']","[('سن', '25 - 35 سال'), ('جنسیت', 'تفاوتی ندارد'), ('تحصیلات', 'کارشناسی ارشد|ریاضی و آمارکارشناسی ارشد|اقتصاد'), ('نرم افزارها', 'Stata|متوسطR|متوسط')]"
برنامه نویس هوش مصنوعی,فراهوش,"{'City': 'شیراز', 'Neighborhood': '، آب جوار'}",شنبه تا پنجشنبه ساعت 8 تا 15,تمام وقت یا پاره وقت,['Python - متوسط'],"['جای شما در تیم استارتاپی فراهوش خالیه...!', 'شرکت ایده فراهوش پویا سوران به چند نفر همکار برای تکمیل پروژه خود با دریافت مقداری از سهام شرکت نیاز \xa0دارد:', 'با توجه به اینکه هر تیم در زمان لانچ محصول نیاز به تیمی دارد که بتوانند در تمامی مراحل بصورت کامل روی پروژه باشند؛ هیات مدیره شرکت به آزاد سازی سهام اقدام کرده است.', 'در حال حاضر کمتر از یک ماه به تکمیل پروژه مانده است و بیش از یک میلیارد تومان در پروژه هزینه شده است با حضور در تیم بصورت رسمی و قانونی دریافت کننده سهام میشوید.', 'درصورت ادامه همکاری پروژه امریه در صورت مهیا شدن شرایط اعطا خواهد شد.', 'شرح وظایف', 'به عنوان متخصص هوش مصنوعی برای ابزارهای یادگیری و پلتفرم آموزشی در فراهوش، شما نقش کلیدی در طراحی، توسعه و اجرای راهکارهای هوش مصنوعی پیشرفته را دارید که تجربه یادگیری دانش آموزان را بهبود بخشند و قابلیت های پلتفرم آموزشی ما را ارتقا دهند. شما با تیمی کوچک ولی متخصص از مهندسین، طراحان و مربیان در حوزه آموزش همکاری خواهید کرد تا راهکارهای نوآورانه ای ایجاد کنید که نیازهای مختلف یادگیرندگان و مدرسین را برآورده کند.', 'مسئولیت ها', 'تحقیق، توسعه و پیاده سازی الگوریتم ها و مدل های هوش مصنوعی برای ابزارهای یادگیری و پلتفرم آموزشی', 'طراحی و نظارت بر یکپارچگی مؤلفه های هوش مصنوعی در ابزارهای یادگیری و پلتفرم آموزشی ما', 'همکاری با سایر تیم های مجموعه برای جمع آوری نیازمندی ها، تعریف ویژگی ها و ارائه راهکار در مورد جوانب مربوط به هوش مصنوعی', 'کاوش و ارزیابی مداوم فناوری ها و روش های جدید هوش مصنوعی در حوزه آموزش', 'تحلیل داده ها و ارائه برآوردهایی برای بهبود کارایی و شخصی سازی ابزارهای یادگیری و پلتفرم آموزشی ما', 'همکاری نزدیک با مدرسان مجموعه و طراحان آموزشی برای درک نیازهای آنها و توسعه ویژگی های مبتنی بر هوش مصنوعی که اهداف آموزشی آنها را پشتیبانی می کند', 'به روز بودن با جریان جدیدترین روندها و پیشرفت های هوش مصنوعی و آموزشی و ارائه راه حل های نوآورانه و پیشگام.', 'الزامات', 'مدرک کارشناسی ارشد در رشته \xa0هوش مصنوعی', 'فهم قوی از الگوریتم های یادگیری ماشین، معماری های یادگیری عمیق و تکنیک های پردازش زبان طبیعی و بینایی ماشین', 'مهارت در زبان های برنامه نویسی به خصوص پایتون و چارچوب هایی مانند TensorFlow یا PyTorch', 'تجربه در تجزیه و تحلیل داده ها، پیش پردازش داده ها و مهندسی ویژگی', 'مهارت های قوی حل مسئله و توانایی تبدیل نیازهای تجاری به راه حل های هوش مصنوعی', 'مهارت های برقراری ارتباط و همکاری بالا، با توانایی کار مؤثر در محیط استارتاپ', 'علاقه مندی به حوزه آموزش و اراده قوی برای ایجاد تأثیر مثبت در این حوزه', 'مهارت های نوشتاری و کلامی عالی به زبان انگلیسی', 'آشنایی با ساخت API برای مدل های هوش مصنوعی مزیت محسوب میشود', 'مزایا', 'محیط کاری انعطاف پذیر و حامی که از خلاقیت و نوآوری استقبال میکند', 'فرصت کار با تیمی پویا و با استعداد از متخصص هایی که دغدغه ی تحول سیستم آموزش را دارند', 'حمایت از توسعه و پیشرفت فردی در بستر مجموعه', 'به روز بودن با آخرین روندها و پیشرفت های در حوزه هوش مصنوعی و آموزش و ارائه راه حل های نوآورانه', 'فرصتی برای تأثیرگذاری واقعی بر دنیای آموزش', 'فرصتی برای کار بر روی پروژه های پیشرفته هوش مصنوعی', 'اطلاعات تکمیلی و شرایط کار', 'تمام وقت(35 ساعت در هفته)', 'هیبریدی (حضوری/دورکاری)', 'ترجیحا ساکن تهران، اما در صورتی که امکان شرکت در جلسات آخر اسپرینت را به صورت حضوری دارید ما پذیرای همکاران ریموت نیز هستیم.', 'لطفا بصورت دقیق آگهی را مطالعه کنید سپس اقدام به ارسال رزومه نمایید؛ با توجه به نوع همکاری افراد واجد شرایط باید تمام فیچرهای فنی را داشته باشند.']","[('سن', '24 - 40 سال'), ('جنسیت', 'ترجیحاً خانم'), ('نرم افزارها', 'Python|متوسط')]"
کارشناس هوش تجاری (BI),گروه صنعتی زر,"{'City': 'کرج', 'Neighborhood': ''}",شنبه تا چهارشنبه 8 الی 17,تمام وقت,['PowerBI - متوسط'],"['تسلط به \xa0نرم افزار \xa0هوش تجاری (POWER BI)', 'آشنایی طراحی انبار داده', 'آشنایی با زبان برنامه نویسی(DAX)', 'آشنایی با فرایندهای کسب وکار']","[('سن', '25 - 36 سال'), ('جنسیت', 'تفاوتی ندارد'), ('خدمت سربازی', 'اتمام خدمت سربازی و یا معافیت از آن الزامی است'), ('نرم افزارها', 'PowerBI|متوسط')]"
Data Analyst,Esmiran International Trading Co,"{'City': 'Tehran', 'Neighborhood': ', Andarzgoo'}",Saturday to Wednesday From 8 to 16:30- Thursday From 8 to 12,Full Time,['4 years experience in similar position'],"['We are seeking a talented Data Analyst to join our Tech-Product Team. In this role, you will be responsible for building interactive dashboards and preparing data reports to support our data-driven decision-making processes and enhance the performance of our tech products. As a member of the team, you will collaborate closely with managers, visualize and automate reports in order to extract insights from data.', 'Responsibilities:', 'Designing and developing interactive dashboards and visualizations to track product performance metrics.', 'Creating automated data reports and scheduled data refreshes.', 'Requirements:', '· \xa0 \xa0 \xa0 \xa0 knowledge in data visualization and storytelling with data.', '· \xa0 \xa0 \xa0 \xa0 Experience working with data visualization tools such as Tableau or Power BI.', '· \xa0 \xa0 \xa0 \xa0 Good knowledge in Python data packages (e.g., Pandas, NumPy, Matplotlib).', '· \xa0 \xa0 \xa0 \xa0 Intermediate-level proficiency in English, with the ability to understand and convey complex concepts.', '· \xa0 \xa0 \xa0 \xa0 communication skills both written and spoken.', '· \xa0 \xa0 \xa0 \xa0 Familiarity Data analysis, Data visualization, SQL, Python']","[('Age', '20 - 35 Years Old'), ('Gender', 'Men / Women'), ('Military service', 'Military service must be done'), ('Software', 'SQL/DS|BasicMicrosoft Word|IntermediateMicrosoft Excel|IntermediateMicrosoft Outlook|AdvancedPython|IntermediatePowerBI|Intermediate')]"
Data Designer and Developer,Hafhashtad,"{'City': 'Tehran', 'Neighborhood': ', Vanak'}",شنبه تا چهارشنبه,Full Time,['2 years experience in similar position'],"['Our Data team at Haf-hashtad is looking for a member as &quot;Data Designer and Developer&quot; to perform everyday tasks', 'in the data team. Realistically, the position of a data designer and developer may require a set of capabilities that', 'could deliver performant queries and designs, tuning, ensuring data quality and providing operational reports.', 'Database Development often includes writing queries, procedures, defining jobs, and monitoring of the data systems', 'as part of their responsibilities, while database designers design performant and domain driven designs of schemas', 'and catalogs. These roles are the backbone of every data driven team.', 'Role and Responsibilities:', '\uf0b7 Develop, construct, test, verify and maintain operational and reporting schemas and queries.', '\uf0b7 Tune current schemas, queries, and procedures.', '\uf0b7 Tuning tables and help designing data flows for better reporting and operations.', '\uf0b7 Solving help desk problems regarding data and answering tickets', '\uf0b7 Write performant queries to aid other data team members like data engineers and data scientists.', '\uf0b7 Communicate with developers and design team to document data flows and designs.', '\uf0b7 Communicate with other data team members to further improve the system.', 'Required Skill:', '\uf0b7 Bachelor’s degree in computer science, IT, or relevant fields or equivalent work experience.', '\uf0b7 Solid understanding of standard SQL', '\uf0b7 Strong understanding of PL/SQL and PostgreSQL', '\uf0b7 Strong understanding of indexing and partitioning concepts', '\uf0b7 Good knowledge of query building and tuning techniques like sub-querying, CTEs, windowing, pivoting, etc.', '\uf0b7 Good knowledge of common data types and structures', '\uf0b7 Experience with Oracle Database, Oracle SQL Developer and Oracle Data Modeler', '\uf0b7 Good knowledge of Data Quality, Operations, Governance and OLTP concepts', '\uf0b7 Understanding of async systems and Oracle queuing', '\uf0b7 Good knowledge of a programming language (preferably Java or Python)', '\uf0b7 Experience with relational and NoSQL databases like Oracle Database, PostgreSQL, Redis, and MongoDB', '\uf0b7 Experience with version controlling, especially git and GitLab (GitLab Runners and CI)', '\uf0b7 Work proficiency in Linux and Bash, and Windows and PowerShell', '\uf0b7 At least 3 years of experience in relevant fields', '\uf0b7 Proficiency in English', '\uf0b7 Communication skills and teamwork mindset', 'Preferred Skills:', '\uf0b7 Experience with building optimized tables in Oracle (Heap, Indexed, In-Memory)', '\uf0b7 Understanding of columnar data', '\uf0b7 Knowledge of OJVM and MLE', '\uf0b7 Good understanding of Data Driven design patterns and organizations', '\uf0b7 Familiar with Data Lake concepts', '\uf0b7 Familiar with journaling, redoes, and flashbacks', '\uf0b7 Familiar with Oracle Data Integrator, Airflow, Oracle Analytics, SSIS, and Power BI', '\uf0b7 Familiar with Big Data and its toolsets like Hadoop, Hive, Spark, and Pig']","[('Age', '25 - 45 Years Old'), ('Gender', 'Men / Women'), ('Software', 'PL-SQL|IntermediateJava|IntermediatePython|Intermediate')]"
کارشناس Power BI,انتخاب الکترونیک,"{'City': 'اصفهان', 'Neighborhood': ''}",شنبه تا چهارشنبه 8 الی 17,تمام وقت,[],[],"[('سن', '23 - 38 سال'), ('جنسیت', 'تفاوتی ندارد'), ('خدمت سربازی', 'اتمام خدمت سربازی و یا معافیت از آن الزامی است'), ('تحصیلات', 'کارشناسی|کامپیوتر / فناوری اطلاعات'), ('زبان', 'انگلیسی|بالاتر از متوسط ۷۰٪'), ('نرم افزارها', 'PowerBI|پیشرفتهT-Sql|متوسط')]"
Senior Data Engineer,Sheypoor,"{'City': 'Tehran', 'Neighborhood': ', Vanak'}",Saturday to Wednesday 9 till 18,Full Time,['3 years experience in similar position'],"['Sheypoor is seeking an accomplished senior data engineer who can bring their expertise in data warehousing, data pipeline creation/support to provide actionable data solutions to the business. This is a multi-disciplinary role that will involve collaboration between team members, departments. This role will be involved from end to end to bring solutions to democratize our data while providing the needed governance and transparency to make sure data sources are comprehensible, accurate, and timely.', 'Responsibilities:', 'Technical Requirements:']","[('Age', '23 - 33 Years Old'), ('Gender', 'Men / Women'), ('Software', 'Java|AdvancedPython|IntermediateKafka|Intermediate')]"
کارشناس تحلیلگر داده,هیژا دارو,"{'City': 'تهران', 'Neighborhood': '، میرداماد'}",شنبه تا چهارشنبه ساعت 8:00 الی 16:00   و پنجشنبه  ساعت8:00 الی 12:00,تمام وقت,"['Microsoft Word - متوسط', 'Microsoft Excel - متوسط']","['تحصیلات:', 'مدرک کارشناسی رشته صنایع، آمار و سایر رشته های مرتبط با علم داده', 'مهارت\xadها:', 'آشنایی با علم داده', 'قدرت درک مطلب بالا، مدیریت صحیح زمان، دقیق و پیگیر', 'پرانرژی، علاقه\xadمند به کار گروهی', 'آشنایی با مفاهیم دیتابیس', 'تسلط به مایکروسافت آفیس ( اکسل، ورد و ...)', 'مسئولیت\xadها:', 'گرفتن داده از منابع مختلف سازمان', 'تجمیع داده ها', 'ساخت جداول کاربردی در اکسل', 'پیاده سازی منطق ها و فرمول ها', 'اطمینان از صحیح بودن دیتای خروجی', 'ارائه داده\xadها به روشی قابل فهم برای کسانی که دانش یا تجربه\xad داده محدودی دارند', 'آشنایی با پایتون مزیت است']","[('سن', '22 - 30 سال'), ('جنسیت', 'تفاوتی ندارد'), ('تحصیلات', 'کارشناسی|کامپیوتر / فناوری اطلاعاتکارشناسی|مهندسی صنایعکارشناسی|ریاضی و آمار'), ('زبان', 'انگلیسی|متوسط ۵۰٪'), ('نرم افزارها', 'Microsoft Word|متوسطMicrosoft Excel|متوسط')]"
